(Proteins Complexes)	Object ID	GO terms (molecular function)	Reactions catalyzed by enzyme	Object ID
TRANS-CPLX-203	TRANS-CPLX-203		TRANS-RXN0-235	TRANS-RXN0-235
KDGT-MONOMER	KDGT-MONOMER	GO:0005351 // GO:0015293 // GO:0015649	TRANS-RXN-113	TRANS-RXN-113
B1791-MONOMER	B1791-MONOMER	GO:0022857	TRANS-RXN0-596 // TRANS-RXN-273	TRANS-RXN0-596 // TRANS-RXN-273
HRSA-MONOMER	HRSA-MONOMER	GO:0022877 // GO:0016740 // GO:0016301 // GO:0008982 // GO:0005515 // GO:0005351 // GO:0090563 // GO:0090581	RXN0-2522	RXN0-2522
MHPT-MONOMER	MHPT-MONOMER	GO:0022857 // GO:0015293 // GO:0015540	TRANS-RXN0-457 // TRANS-RXN-61	TRANS-RXN0-457 // TRANS-RXN-61
GABP-MONOMER	GABP-MONOMER	GO:0015291 // GO:0015185	TRANS-RXN-57 // TRANS-RXN-384	TRANS-RXN-57 // TRANS-RXN-384
ABC-57-CPLX	ABC-57-CPLX		TRANS-RXN-366	TRANS-RXN-366
TRANS-200-CPLX	TRANS-200-CPLX		TRANS-RXN0-224 // TRANS-RXN-377 // TRANS-RXN-378	TRANS-RXN0-224 // TRANS-RXN-377 // TRANS-RXN-378
CPLX0-7955	CPLX0-7955		RXN0-1981 // RXN0-5111 // TRANS-RXN0-576	RXN0-1981 // RXN0-5111 // TRANS-RXN0-576
EG11512-MONOMER	EG11512-MONOMER	GO:0015293 // GO:0015360	TRANS-RXN0-571 // TRANS-RXN-121	TRANS-RXN0-571 // TRANS-RXN-121
EG11691-MONOMER	EG11691-MONOMER	GO:0015205 // GO:0005345 // GO:0022857 // GO:0015207	TRANS-RXN0-577	TRANS-RXN0-577
EG11724-MONOMER	EG11724-MONOMER	GO:0015205 // GO:0005345 // GO:0022857 // GO:0015207 // GO:0015295	TRANS-RXN0-447	TRANS-RXN0-447
YCHM-MONOMER	YCHM-MONOMER	GO:0015116 // GO:0008271 // GO:0015183 // GO:0015141 // GO:0015138	TRANS-RXN-121 // TRANS-RXN-122A // TRANS-RXN0-553	TRANS-RXN-121 // TRANS-RXN-122A // TRANS-RXN0-553
ABC-56-CPLX	ABC-56-CPLX		ABC-56-RXN	ABC-56-RXN
KGTP-MONOMER	KGTP-MONOMER	GO:0022857 // GO:0015293 // GO:0015294	TRANS-RXN-23	TRANS-RXN-23
EG12713-MONOMER	EG12713-MONOMER	GO:0015173 // GO:0015171	TRANS-RXN0-486 // RXN0-1923 // TRANS-RXN0-417 // TRANS-RXN0-495 // TRANS-RXN0-269 // TRANS-RXN0-512 // RXN0-1924 // TRANS-RXN0-480 // TRANS-RXN0-569 // RXN66-448 // TRANS-RXN0-537 // TRANS-RXN0-507 // TRANS-RXN0-514 // TRANS-RXN-267 // TRANS-RXN0-265	TRANS-RXN0-486 // RXN0-1923 // TRANS-RXN0-417 // TRANS-RXN0-495 // TRANS-RXN0-269 // TRANS-RXN0-512 // RXN0-1924 // TRANS-RXN0-480 // TRANS-RXN0-569 // RXN66-448 // TRANS-RXN0-537 // TRANS-RXN0-507 // TRANS-RXN0-514 // TRANS-RXN-267 // TRANS-RXN0-265
CPLX0-7532	CPLX0-7532		RXN-9615	RXN-9615
DCUB-MONOMER	DCUB-MONOMER	GO:0005515 // GO:0005469 // GO:0015556	TRANS-RXN-106 // TRANS-RXN-106B // TRANS-RXN-106A // TRANS-RXN-299 // TRANS-RXN0-499	TRANS-RXN-106 // TRANS-RXN-106B // TRANS-RXN-106A // TRANS-RXN-299 // TRANS-RXN0-499
DCUC-MONOMER	DCUC-MONOMER	GO:0015556 // GO:0005469	TRANS-RXN-300 // TRANS-RXN-106 // TRANS-RXN-299	TRANS-RXN-300 // TRANS-RXN-106 // TRANS-RXN-299
ABC-2-CPLX	ABC-2-CPLX	GO:0015147	ABC-2-RXN	ABC-2-RXN
ARAE-MONOMER	ARAE-MONOMER	GO:0022857 // GO:0015147 // GO:0015150 // GO:0015293	TRANS-RXN-10	TRANS-RXN-10
CPLX0-7535	CPLX0-7535		RXN0-2162	RXN0-2162
AROP-MONOMER	AROP-MONOMER	GO:0015192 // GO:0015196 // GO:0005302	TRANS-RXN-76 // TRANS-RXN-77 // TRANS-RXN-56	TRANS-RXN-76 // TRANS-RXN-77 // TRANS-RXN-56
CPLX0-4	CPLX0-4		TRANS-RXN0-233	TRANS-RXN0-233
CPLX-7	CPLX-7		RXN3O-9786 // RXN-22385	RXN3O-9786 // RXN-22385
ATPSYN-CPLX	ATPSYN-CPLX		ATPSYN-RXN // RXN0-7041	ATPSYN-RXN // RXN0-7041
CPLX0-7704	CPLX0-7704		TRANS-RXN-236	TRANS-RXN-236
G6859-MONOMER	G6859-MONOMER	GO:0015562	TRANS-RXN0-453	TRANS-RXN0-453
ABC-58-CPLX	ABC-58-CPLX		TRANS-RXN0-454	TRANS-RXN0-454
CPLX-153	CPLX-153		TRANS-RXN-155 // TRANS-RXN-153A // TRANS-RXN-153	TRANS-RXN-155 // TRANS-RXN-153A // TRANS-RXN-153
CPLX-154	CPLX-154		TRANS-RXN0-518 // TRANS-RXN-153 // TRANS-RXN-153A // TRANS-RXN-157	TRANS-RXN0-518 // TRANS-RXN-153 // TRANS-RXN-153A // TRANS-RXN-157
EG11471-MONOMER	EG11471-MONOMER	GO:0015225	TRANS-RXN0-240	TRANS-RXN0-240
ABC-15-CPLX	ABC-15-CPLX		ABC-35-RXN // ABC-36-RXN // ABC-15-RXN // TRANS-RXN-312	ABC-35-RXN // ABC-36-RXN // ABC-15-RXN // TRANS-RXN-312
BRNQ-MONOMER	BRNQ-MONOMER	GO:0005515 // GO:0015658 // GO:0015190 // GO:0015188 // GO:0005304	TRANS-RXN-126B // TRANS-RXN-126A // TRANS-RXN-126	TRANS-RXN-126B // TRANS-RXN-126A // TRANS-RXN-126
DCTA-MONOMER	DCTA-MONOMER	GO:0022857 // GO:0015293 // GO:0005515 // GO:0015366 // GO:0015141 // GO:0015138 // GO:0015183	TRANS-RXN-300 // TRANS-RXN-299 // TRANS-RXN0-517 // TRANS-RXN0-451 // TRANS-RXN-122A // TRANS-RXN-121C // TRANS-RXN0-553 // TRANS-RXN-121A // TRANS-RXN-121	TRANS-RXN-300 // TRANS-RXN-299 // TRANS-RXN0-517 // TRANS-RXN0-451 // TRANS-RXN-122A // TRANS-RXN-121C // TRANS-RXN0-553 // TRANS-RXN-121A // TRANS-RXN-121
DCUA-MONOMER	DCUA-MONOMER	GO:0005469 // GO:0015556	TRANS-RXN-379 // TRANS-RXN-106 // TRANS-RXN-106B // TRANS-RXN-106A // TRANS-RXN-299	TRANS-RXN-379 // TRANS-RXN-106 // TRANS-RXN-106B // TRANS-RXN-106A // TRANS-RXN-299
ABC-35-CPLX	ABC-35-CPLX		RXN-21407	RXN-21407
G6370-MONOMER	G6370-MONOMER	GO:0015288 // GO:0015267	TRANS-RXN-481	TRANS-RXN-481
CPLX0-7961	CPLX0-7961		RXN0-2501	RXN0-2501
BETT-MONOMER	BETT-MONOMER	GO:0022857 // GO:0015220	TRANS-RXN-99	TRANS-RXN-99
B0612-MONOMER	B0612-MONOMER	GO:0022857 // GO:0015297	TRANS-RXN0-201	TRANS-RXN0-201
CPLX0-1924	CPLX0-1924		RXN0-1565 // TRANS-RXN0-283	RXN0-1565 // TRANS-RXN0-283
G7097-MONOMER	G7097-MONOMER		RXN-22217	RXN-22217
CPLX0-1721	CPLX0-1721		TRANS-RXN0-280 // TRANS-RXN-90	TRANS-RXN0-280 // TRANS-RXN-90
B0260-MONOMER	B0260-MONOMER	GO:0015171 // GO:0000100	TRANS-RXN0-486	TRANS-RXN0-486
ABC-23-CPLX	ABC-23-CPLX		ABC-23-RXN // TRANS-RXN-238	ABC-23-RXN // TRANS-RXN-238
G6260-MONOMER	G6260-MONOMER	GO:0140581 // GO:0043682 // GO:0019829 // GO:0046872 // GO:0005524 // GO:0000166 // GO:0015080 // GO:0015662	RXN-14455	RXN-14455
CPLX-3945	CPLX-3945		RXN-5068	RXN-5068
CYNX-MONOMER	CYNX-MONOMER	GO:0022857	TRANS-RXN-14	TRANS-RXN-14
EG11639-MONOMER	EG11639-MONOMER	GO:0015562	RXN0-1924 // RXN0-1923	RXN0-1924 // RXN0-1923
EG12445-MONOMER	EG12445-MONOMER	GO:0015171 // GO:0015562	RXN0-1924 // RXN0-1923	RXN0-1924 // RXN0-1923
CPLX0-8152	CPLX0-8152		TRANS-RXN0-593 // TRANS-RXN-291 // TRANS-RXN0-508 // TRANS-RXN0-513 // TRANS-RXN-290 // TRANS-RXN0-617	TRANS-RXN0-593 // TRANS-RXN-291 // TRANS-RXN0-508 // TRANS-RXN0-513 // TRANS-RXN-290 // TRANS-RXN0-617
EG11902-MONOMER	EG11902-MONOMER	GO:0000099 // GO:0022857	TRANS-RXN0-507 // TRANS-RXN0-514 // TRANS-RXN-267	TRANS-RXN0-507 // TRANS-RXN0-514 // TRANS-RXN-267
G6934-MONOMER	G6934-MONOMER	GO:0022857 // GO:0015293 // GO:0000099 // GO:0005416 // GO:0015184	TRANS-RXN-285 // TRANS-RXN-330 // TRANS-RXN0-616 // TRANS-RXN-286	TRANS-RXN-285 // TRANS-RXN-330 // TRANS-RXN0-616 // TRANS-RXN-286
CYT-D-UBIOX-CPLX	CYT-D-UBIOX-CPLX		RXN0-5266 // RXN-19778 // RXN-19777	RXN0-5266 // RXN-19778 // RXN-19777
APP-UBIOX-CPLX	APP-UBIOX-CPLX		RXN0-5266	RXN0-5266
CYT-O-UBIOX-CPLX	CYT-O-UBIOX-CPLX	GO:0005507 // GO:0020037 // GO:0015078 // GO:0009055 // GO:0009486 // GO:0015453	RXN-21817	RXN-21817
CODB-MONOMER	CODB-MONOMER	GO:0022857 // GO:0015209 // GO:0015295	TRANS-RXN-116	TRANS-RXN-116
ABC-42-CPLX	ABC-42-CPLX	GO:0015593	ABC-42-RXN	ABC-42-RXN
YIDT-MONOMER	YIDT-MONOMER	GO:0022857 // GO:0015295 // GO:0042881	TRANS-RXN-16	TRANS-RXN-16
ABC-18-CPLX	ABC-18-CPLX	GO:0005354 // GO:0015592	ABC-18-RXN // TRANS-RXN0-541	ABC-18-RXN // TRANS-RXN0-541
DSDX-MONOMER	DSDX-MONOMER	GO:0015128 // GO:0042945	TRANS-RXN0-495	TRANS-RXN0-495
CYCA-MONOMER	CYCA-MONOMER	GO:0042945 // GO:0042944 // GO:0015180 // GO:0001761 // GO:0015187	TRANS-RXN-62A // RXN0-5130 // TRANS-RXN-62B // RXN0-5202 // RXN0-5201 // RXN0-5203	TRANS-RXN-62A // RXN0-5130 // TRANS-RXN-62B // RXN0-5202 // RXN0-5201 // RXN0-5203
XYLE-MONOMER	XYLE-MONOMER	GO:0022857 // GO:0015293 // GO:0015519	TRANS-RXN-30	TRANS-RXN-30
ABC-8-CPLX	ABC-8-CPLX	GO:0042626	ABC-8-RXN	ABC-8-RXN
B1634-MONOMER	B1634-MONOMER	GO:1904680 // GO:0022857 // GO:0015078 // GO:0071916 // GO:0015333 // GO:0042937	TRANS-RXN0-288 // TRANS-RXN0-267	TRANS-RXN0-288 // TRANS-RXN0-267
YHIP-MONOMER	YHIP-MONOMER	GO:1904680 // GO:0022857 // GO:0015078 // GO:0071916 // GO:0015333 // GO:0042937	TRANS-RXN0-267 // TRANS-RXN0-288	TRANS-RXN0-267 // TRANS-RXN0-288
YJDL-MONOMER	YJDL-MONOMER	GO:1904680 // GO:0022857 // GO:0015293 // GO:0071916 // GO:0015078 // GO:0042937 // GO:0015333	TRANS-RXN0-267 // TRANS-RXN0-288	TRANS-RXN0-267 // TRANS-RXN0-288
B0709-MONOMER	B0709-MONOMER	GO:1904680 // GO:0042937 // GO:0022857 // GO:0015333 // GO:0071916	TRANS-RXN0-288	TRANS-RXN0-288
YCEE-MONOMER	YCEE-MONOMER	GO:0022857 // GO:0015299	TRANS-RXN-342 // TRANS-RXN0-589	TRANS-RXN-342 // TRANS-RXN0-589
YIDY-MONOMER	YIDY-MONOMER	GO:0042910 // GO:0022857 // GO:0015299	TRANS-RXN-341	TRANS-RXN-341
YBDA-MONOMER	YBDA-MONOMER	GO:0022857 // GO:0042931	TRANS-RXN0-496	TRANS-RXN0-496
CPLX0-8271	CPLX0-8271		TRANS-RXN0-498	TRANS-RXN0-498
FEOB-MONOMER	FEOB-MONOMER	GO:0042802 // GO:0000166 // GO:0015093 // GO:0005525	TRANS-RXN-424	TRANS-RXN-424
ABC-9-CPLX	ABC-9-CPLX		ABC-9-RXN	ABC-9-RXN
CPLX0-1943	CPLX0-1943		RXN0-1684	RXN0-1684
CPLX0-7952	CPLX0-7952		RXN0-1702	RXN0-1702
ABC-10-CPLX	ABC-10-CPLX	GO:0015620	ABC-10-RXN	ABC-10-RXN
CPLX0-1941	CPLX0-1941		RXN0-1682	RXN0-1682
CPLX0-1942	CPLX0-1942		RXN0-1701	RXN0-1701
YEEO-MONOMER	YEEO-MONOMER	GO:0042910 // GO:0015297 // GO:0071916 // GO:0044610 // GO:0015230	TRANS-RXN-272 // TRANS-RXN0-595	TRANS-RXN-272 // TRANS-RXN0-595
CPLX0-7843	CPLX0-7843		TRANS-RXN-1 // TRANS-RXN-381	TRANS-RXN-1 // TRANS-RXN-381
FOCB-MONOMER	FOCB-MONOMER	GO:0015499 // GO:0022857	TRANS-RXN-1	TRANS-RXN-1
FORMATEDEHYDROGN-CPLX	FORMATEDEHYDROGN-CPLX	GO:0036397 // GO:0009055	FORMATEDEHYDROG-RXN	FORMATEDEHYDROG-RXN
FORMATEDEHYDROGO-CPLX	FORMATEDEHYDROGO-CPLX	GO:0043546 // GO:0036397 // GO:0008430	FORMATEDEHYDROG-RXN	FORMATEDEHYDROG-RXN
FSR-MONOMER	FSR-MONOMER	GO:0022857	TRANS-RXN-41	TRANS-RXN-41
CPLX-158	CPLX-158	GO:0090582	TRANS-RXN0-582 // TRANS-RXN0-618 // TRANS-RXN-158	TRANS-RXN0-582 // TRANS-RXN0-618 // TRANS-RXN-158
YHFM-MONOMER	YHFM-MONOMER	GO:0022857 // GO:0015179	TRANS-RXN0-418 // TRANS-RXN0-417	TRANS-RXN0-418 // TRANS-RXN0-417
GNTP-MONOMER	GNTP-MONOMER	GO:0005351 // GO:0015128	TRANS-RXN-81 // TRANS-RXN0-209	TRANS-RXN-81 // TRANS-RXN0-209
YHAU-MONOMER	YHAU-MONOMER	GO:0022857 // GO:0015296	TRANS-RXN0-204 // TRANS-RXN0-203 // TRANS-RXN0-523	TRANS-RXN0-204 // TRANS-RXN0-203 // TRANS-RXN0-523
B2789-MONOMER	B2789-MONOMER	GO:0022857 // GO:0015296	TRANS-RXN0-204 // TRANS-RXN0-203 // TRANS-RXN0-523	TRANS-RXN0-204 // TRANS-RXN0-203 // TRANS-RXN0-523
CPLX0-231	CPLX0-231	GO:0090584 // GO:0090583	TRANS-RXN-161 // TRANS-RXN-169	TRANS-RXN-161 // TRANS-RXN-169
ABC-46-CPLX	ABC-46-CPLX	GO:0015399	TRANS-RXN0-492 // TRANS-RXN0-491	TRANS-RXN0-492 // TRANS-RXN0-491
YJIZ-MONOMER	YJIZ-MONOMER	GO:0022857	TRANS-RXN0-227	TRANS-RXN0-227
GALP-MONOMER	GALP-MONOMER	GO:0022857 // GO:0015293 // GO:0015517	TRANS-RXN-21 // RXN0-7077	TRANS-RXN-21 // RXN0-7077
CPLX-157	CPLX-157	GO:0090564 // GO:0022855	TRANS-RXN-157 // TRANS-RXN0-583	TRANS-RXN-157 // TRANS-RXN0-583
UIDB-MONOMER	UIDB-MONOMER	GO:0022857 // GO:0015293	TRANS-RXN-98	TRANS-RXN-98
ABC-13-CPLX	ABC-13-CPLX		TRANS-RXN0-222 // ABC-13-RXN	TRANS-RXN0-222 // ABC-13-RXN
GLTP-MONOMER	GLTP-MONOMER	GO:0022857 // GO:0005280 // GO:0015293	TRANS-RXN-122A // TRANS-RXN-162	TRANS-RXN-122A // TRANS-RXN-162
GLTS-MONOMER	GLTS-MONOMER	GO:0015501 // GO:0015293	TRANS-RXN-122	TRANS-RXN-122
ABC-6-CPLX	ABC-6-CPLX	GO:0016887 // GO:0020037 // GO:0034634 // GO:0033230	RXN0-21 // RXN0-3	RXN0-21 // RXN0-3
ABC-49-CPLX	ABC-49-CPLX	GO:0042626 // GO:0034634	RXN0-11	RXN0-11
CPLX0-7654	CPLX0-7654		TRANS-RXN-131 // RXN0-7189 // TRANS-RXN0-536 // TRANS-RXN0-537 // TRANS-RXN0-460 // TRANS-RXN0-551 // RXN0-7191	TRANS-RXN-131 // RXN0-7189 // TRANS-RXN0-536 // TRANS-RXN0-537 // TRANS-RXN0-460 // TRANS-RXN0-551 // RXN0-7191
ABC-26-CPLX	ABC-26-CPLX	GO:0031459	TRANS-RXN-283 // TRANS-RXN-324 // RXN-8638 // ABC-26-RXN	TRANS-RXN-283 // TRANS-RXN-324 // RXN-8638 // ABC-26-RXN
ABC-40-CPLX	ABC-40-CPLX	GO:0031459	TRANS-RXN-283	TRANS-RXN-283
B2975-MONOMER	B2975-MONOMER	GO:0015295 // GO:0043879 // GO:0015129	TRANS-RXN-105 // TRANS-RXN-104 // TRANS-RXN0-515 // TRANS-RXN0-622	TRANS-RXN-105 // TRANS-RXN-104 // TRANS-RXN0-515 // TRANS-RXN0-622
CPLX0-8263	CPLX0-8263		TRANS-RXN-369 // TRANS-RXN-368	TRANS-RXN-369 // TRANS-RXN-368
EG11939-MONOMER	EG11939-MONOMER	GO:0022857 // GO:0015208 // GO:0005345	TRANS-RXN0-562 // TRANS-RXN0-578	TRANS-RXN0-562 // TRANS-RXN0-578
G7504-MONOMER	G7504-MONOMER	GO:0022857 // GO:0005345 // GO:0015208	TRANS-RXN0-562 // TRANS-RXN0-578	TRANS-RXN0-562 // TRANS-RXN0-578
EG11167-MONOMER	EG11167-MONOMER	GO:0005385 // GO:0046873 // GO:0015086 // GO:0015093 // GO:0005375 // GO:0015087 // GO:0005384	RXN0-16 // RXN0-14 // RXN0-12 // RXN0-10 // TRANS-RXN-8 // TRANS-RXN-141A	RXN0-16 // RXN0-14 // RXN0-12 // RXN0-10 // TRANS-RXN-8 // TRANS-RXN-141A
UHPT-MONOMER	UHPT-MONOMER	GO:0022857 // GO:0015526	TRANS-RXN-33 // TRANS-RXN0-502 // TRANS-RXN0-501 // TRANS-RXN0-534	TRANS-RXN-33 // TRANS-RXN0-502 // TRANS-RXN0-501 // TRANS-RXN0-534
EXUT-MONOMER	EXUT-MONOMER	GO:0022857 // GO:0015134	TRANS-RXN-123 // TRANS-RXN-35	TRANS-RXN-123 // TRANS-RXN-35
GNTT-MONOMER	GNTT-MONOMER	GO:0015128	TRANS-RXN0-209	TRANS-RXN0-209
ABC-14-CPLX	ABC-14-CPLX	GO:0005291	ABC-14-RXN	ABC-14-RXN
CPLX0-8167	CPLX0-8167	GO:0020037 // GO:0033748 // GO:0009055 // GO:0051536 // GO:0016151	RXN0-5256 // RXN-16420	RXN0-5256 // RXN-16420
FORMHYDROG2-CPLX	FORMHYDROG2-CPLX	GO:0033748 // GO:0009055 // GO:0016151 // GO:0005506 // GO:0047067	RXN0-5256	RXN0-5256
ABC-11-CPLX	ABC-11-CPLX	GO:0015344	ABC-11-RXN // TRANS-RXN-297 // TRANS-RXN-298	ABC-11-RXN // TRANS-RXN-297 // TRANS-RXN-298
CPLX0-8541	CPLX0-8541		RXN0-1721	RXN0-1721
KEFB-MONOMER	KEFB-MONOMER	GO:0015503 // GO:0015299 // GO:0008324 // GO:0015297	TRANS-RXN-42	TRANS-RXN-42
CPLX0-7819	CPLX0-7819		TRANS-RXN-42	TRANS-RXN-42
TRKH-MONOMER	TRKH-MONOMER	GO:0015379 // GO:0046872 // GO:0008324 // GO:0030955 // GO:0005267 // GO:0015079	TRANS-RXN-3	TRANS-RXN-3
ATPASE-1-CPLX	ATPASE-1-CPLX		TRANS-RXN-2	TRANS-RXN-2
KUP-MONOMER	KUP-MONOMER	GO:0015293 // GO:0015387 // GO:0015079	TRANS-RXN-3	TRANS-RXN-3
G7399-MONOMER	G7399-MONOMER	GO:0015299 // GO:0034639	TRANS-RXN0-469	TRANS-RXN0-469
YDEA-MONOMER	YDEA-MONOMER	GO:0022857 // GO:0015144	TRANS-RXN-40	TRANS-RXN-40
ABC-4-CPLX	ABC-4-CPLX		ABC-4-RXN	ABC-4-RXN
YGGA-MONOMER	YGGA-MONOMER	GO:0015171 // GO:0015181	RXN66-448 // TRANS-RXN-325	RXN66-448 // TRANS-RXN-325
EIISGA	EIISGA	GO:0090563	RXN0-2461	RXN0-2461
ANSP-MONOMER	ANSP-MONOMER		TRANS-RXN-262	TRANS-RXN-262
CPLX0-7906	CPLX0-7906		TRANS-RXN-100	TRANS-RXN-100
FUCP-MONOMER	FUCP-MONOMER	GO:0022857 // GO:0015293 // GO:0015150 // GO:0015518 // GO:0015517 // GO:0015535 // GO:0009679	TRANS-RXN-20 // RXN0-7221 // RXN0-7222	TRANS-RXN-20 // RXN0-7221 // RXN0-7222
XASA-MONOMER	XASA-MONOMER	GO:0022857 // GO:0015297	TRANS-RXN-261	TRANS-RXN-261
ABC-12-CPLX	ABC-12-CPLX	GO:0015186	ABC-12-RXN	ABC-12-RXN
RHTB-MONOMER	RHTB-MONOMER	GO:0015171 // GO:0015291 // GO:0015565 // GO:0042970	TRANS-RXN-242 // TRANS-RXN-242A // TRANS-RXN0-0244	TRANS-RXN-242 // TRANS-RXN-242A // TRANS-RXN0-0244
YJGT-MONOMER	YJGT-MONOMER	GO:0015568 // GO:0015128	TRANS-RXN0-228 // TRANS-RXN0-209 // TRANS-RXN-181A	TRANS-RXN0-228 // TRANS-RXN0-209 // TRANS-RXN-181A
G6458-MONOMER	G6458-MONOMER	GO:0015661	TRANS-RXN0-569	TRANS-RXN0-569
B4141-MONOMER	B4141-MONOMER	GO:0022857 // GO:0000102 // GO:0005294 // GO:0015179	RXN0-7050 // TRANS-RXN-282 // TRANS-RXN-281 // TRANS-RXN0-270	RXN0-7050 // TRANS-RXN-282 // TRANS-RXN-281 // TRANS-RXN0-270
METNIQ-METHIONINE-ABC-CPLX	METNIQ-METHIONINE-ABC-CPLX	GO:0033232 // GO:0015191	RXN0-4522 // TRANS-RXN0-202 // RXN0-7185 // RXN0-7186 // TRANS-RXN0-511 // TRANS-RXN0-510 // TRANS-RXN-383	RXN0-4522 // TRANS-RXN0-202 // RXN0-7185 // RXN0-7186 // TRANS-RXN0-511 // TRANS-RXN0-510 // TRANS-RXN-383
SDAC-MONOMER	SDAC-MONOMER	GO:0015171 // GO:0015194	TRANS-RXN-71	TRANS-RXN-71
YGJE-MONOMER	YGJE-MONOMER	GO:0022857 // GO:0015297	TRANS-RXN-127	TRANS-RXN-127
RHTC-MONOMER	RHTC-MONOMER	GO:0015171 // GO:0015291 // GO:0015565	TRANS-RXN0-0244	TRANS-RXN0-0244
EG12134-MONOMER	EG12134-MONOMER	GO:0042970 // GO:0015291 // GO:0015565	TRANS-RXN-242 // TRANS-RXN0-0244	TRANS-RXN-242 // TRANS-RXN0-0244
CPLX0-7684	CPLX0-7684		TRANS-RXN0-269	TRANS-RXN0-269
LCTP-MONOMER	LCTP-MONOMER	GO:0015295 // GO:0043879 // GO:0015129	TRANS-RXN-104 // TRANS-RXN0-515 // TRANS-RXN-105 // TRANS-RXN0-622	TRANS-RXN-104 // TRANS-RXN0-515 // TRANS-RXN-105 // TRANS-RXN0-622
LACY-MONOMER	LACY-MONOMER	GO:0022857 // GO:0015293 // GO:0030395 // GO:0005351 // GO:0005515 // GO:0015528	TRANS-RXN-24 // TRANS-RXN-94 // RXN0-7215 // RXN0-7217 // RXN-17755	TRANS-RXN-24 // TRANS-RXN-94 // RXN0-7215 // RXN0-7217 // RXN-17755
CPLX0-7627	CPLX0-7627		TRANS-RXN-86	TRANS-RXN-86
ABC-304-CPLX	ABC-304-CPLX		ABC-35-RXN // TRANS-RXN-312	ABC-35-RXN // TRANS-RXN-312
G6984-MONOMER	G6984-MONOMER	GO:0015171 // GO:0015190	TRANS-RXN0-270 // RXN0-7050	TRANS-RXN0-270 // RXN0-7050
G6561-MONOMER	G6561-MONOMER	GO:1901612 // GO:0015648	TRANS-RXN0-286	TRANS-RXN0-286
EG11486-MONOMER	EG11486-MONOMER	GO:0140303	TRANS-RXN0-279	TRANS-RXN0-279
CPLX0-7992	CPLX0-7992		TRANS-RXN-237	TRANS-RXN-237
ABC-62-CPLX	ABC-62-CPLX		RXN-22427	RXN-22427
EG10280-MONOMER	EG10280-MONOMER	GO:0022834 // GO:0015483	RXN0-1802	RXN0-1802
ACYLCOASYN-CPLX	ACYLCOASYN-CPLX		RXN-9644 // PROPIONATE--COA-LIGASE-RXN // ACYLCOASYN-RXN // TRANS-RXN0-623 // RXN0-7238 // RXN0-7239 // RXN0-7248	RXN-9644 // PROPIONATE--COA-LIGASE-RXN // ACYLCOASYN-RXN // TRANS-RXN0-623 // RXN0-7238 // RXN0-7239 // RXN0-7248
GNTU-MONOMER	GNTU-MONOMER	GO:0005402 // GO:0015128	TRANS-RXN0-209	TRANS-RXN0-209
ABC-3-CPLX	ABC-3-CPLX		ABC-37-RXN // ABC-4-RXN // ABC-3-RXN	ABC-37-RXN // ABC-4-RXN // ABC-3-RXN
CADB-MONOMER	CADB-MONOMER	GO:0022857 // GO:0015297 // GO:0015295 // GO:0043872	TRANS-RXN-68 // TRANS-RXN0-212	TRANS-RXN-68 // TRANS-RXN0-212
LYSP-MONOMER	LYSP-MONOMER	GO:0015171 // GO:0005515 // GO:0008134 // GO:0015189 // GO:0042802	TRANS-RXN-58	TRANS-RXN-58
EG12455-MONOMER	EG12455-MONOMER	GO:0022857 // GO:0051978 // GO:0005319	TRANS-RXN-294 // TRANS-RXN-295 // TRANS-RXN-387	TRANS-RXN-294 // TRANS-RXN-295 // TRANS-RXN-387
